Region,Country/ Territory,Data collection,Year,Received
Africa,Central African Republic,GLOTIP,2022,0
Africa,Central African Republic,IDS,2019,0
Africa,Central African Republic,IDS,2020,0
Africa,Central African Republic,IDS,2021,0
Africa,Central African Republic,IDS,2022,0
Africa,Central African Republic,UN-CTS,2019,0
Africa,Central African Republic,UN-CTS,2020,0
Africa,Central African Republic,UN-CTS,2021,0
Africa,Central African Republic,UN-CTS,2022,0
Africa,Central African Republic,UN-IAFQ,2019,0
Africa,Central African Republic,UN-IAFQ,2020,0
Africa,Central African Republic,UN-IAFQ,2021,0
Africa,Central African Republic,UN-IAFQ,2022,0
Africa,Chad,ARQ,2019,0
Africa,Chad,ARQ,2020,0
Africa,Chad,ARQ,2021,0
Africa,Chad,ARQ,2022,0
Africa,Chad,GLOTIP,2019,0
Africa,Chad,GLOTIP,2020,0
Africa,Chad,GLOTIP,2021,0
Africa,Chad,GLOTIP,2022,0
Africa,Chad,IDS,2019,0
Africa,Chad,IDS,2020,0
Africa,Chad,IDS,2021,0
Africa,Chad,IDS,2022,0
Africa,Chad,UN-CTS,2019,0
Africa,Chad,UN-CTS,2020,0
Africa,Chad,UN-CTS,2021,0
Africa,Chad,UN-CTS,2022,0
Africa,Chad,UN-IAFQ,2019,0
Africa,Chad,UN-IAFQ,2020,0
Africa,Chad,UN-IAFQ,2021,0
Africa,Chad,UN-IAFQ,2022,0
Africa,Congo,ARQ,2019,0
Africa,Congo,ARQ,2020,0
Africa,Congo,ARQ,2021,0
Africa,Congo,ARQ,2022,0
Africa,Congo,GLOTIP,2019,0
Africa,Congo,GLOTIP,2020,0
Africa,Congo,GLOTIP,2021,0
Africa,Congo,GLOTIP,2022,0
Africa,Congo,IDS,2019,0
Africa,Congo,IDS,2020,0
Africa,Congo,IDS,2021,0
Africa,Congo,IDS,2022,0
Africa,Congo,UN-CTS,2019,0
Africa,Congo,UN-CTS,2020,0
Africa,Congo,UN-CTS,2021,0
Africa,Congo,UN-CTS,2022,0
Africa,Congo,UN-IAFQ,2019,0
Africa,Congo,UN-IAFQ,2020,0
Africa,Congo,UN-IAFQ,2021,0
Africa,Congo,UN-IAFQ,2022,0
Africa,Côte d’Ivoire,ARQ,2019,1
Africa,Côte d’Ivoire,ARQ,2020,1
Africa,Côte d’Ivoire,ARQ,2021,1
Africa,Côte d’Ivoire,ARQ,2022,1
Africa,Côte d’Ivoire,GLOTIP,2019,0
Africa,Côte d’Ivoire,GLOTIP,2020,0
Africa,Côte d’Ivoire,GLOTIP,2021,0
Africa,Côte d’Ivoire,GLOTIP,2022,0
Africa,Côte d’Ivoire,IDS,2019,0
Africa,Côte d’Ivoire,IDS,2020,1
Africa,Côte d’Ivoire,IDS,2021,0
Africa,Côte d’Ivoire,IDS,2022,0
Africa,Côte d’Ivoire,UN-CTS,2019,0
Africa,Côte d’Ivoire,UN-CTS,2020,0
Africa,Côte d’Ivoire,UN-CTS,2021,0
Africa,Côte d’Ivoire,UN-CTS,2022,0
Africa,Côte d’Ivoire,UN-IAFQ,2019,0
Africa,Côte d’Ivoire,UN-IAFQ,2020,0
Africa,Côte d’Ivoire,UN-IAFQ,2021,0
Africa,Côte d’Ivoire,UN-IAFQ,2022,0
Africa,Democratic Republic of the Congo,ARQ,2019,0
Africa,Democratic Republic of the Congo,ARQ,2020,0
Africa,Democratic Republic of the Congo,ARQ,2021,0
Africa,Democratic Republic of the Congo,ARQ,2022,0
Africa,Democratic Republic of the Congo,GLOTIP,2019,0
Africa,Democratic Republic of the Congo,GLOTIP,2020,0
Africa,Democratic Republic of the Congo,GLOTIP,2021,0
Africa,Democratic Republic of the Congo,GLOTIP,2022,0
Africa,Democratic Republic of the Congo,IDS,2019,0
Africa,Democratic Republic of the Congo,IDS,2020,0
Africa,Democratic Republic of the Congo,IDS,2021,0
Africa,Democratic Republic of the Congo,IDS,2022,0
Africa,Democratic Republic of the Congo,UN-CTS,2019,0
Africa,Democratic Republic of the Congo,UN-CTS,2020,0
Africa,Democratic Republic of the Congo,UN-CTS,2021,0
Africa,Democratic Republic of the Congo,UN-CTS,2022,0
Africa,Democratic Republic of the Congo,UN-IAFQ,2019,0
Africa,Democratic Republic of the Congo,UN-IAFQ,2020,0
Africa,Democratic Republic of the Congo,UN-IAFQ,2021,0
Africa,Democratic Republic of the Congo,UN-IAFQ,2022,0
Africa,Djibouti,ARQ,2019,1
Africa,Djibouti,ARQ,2020,0
Africa,Djibouti,ARQ,2021,0
Africa,Djibouti,ARQ,2022,0
Africa,Djibouti,GLOTIP,2019,0
Africa,Djibouti,GLOTIP,2020,0
Africa,Djibouti,GLOTIP,2021,0
Africa,Djibouti,GLOTIP,2022,0
Africa,Djibouti,IDS,2019,0
Africa,Djibouti,IDS,2020,0
Africa,Djibouti,IDS,2021,0
Africa,Djibouti,IDS,2022,0
Africa,Djibouti,UN-CTS,2019,1
Africa,Djibouti,UN-CTS,2020,0
Africa,Djibouti,UN-CTS,2021,0
Africa,Djibouti,UN-CTS,2022,0
Africa,Djibouti,UN-IAFQ,2019,0
Africa,Djibouti,UN-IAFQ,2020,0
Africa,Djibouti,UN-IAFQ,2021,0
Africa,Djibouti,UN-IAFQ,2022,0
Africa,Egypt,ARQ,2019,1
Africa,Egypt,ARQ,2020,1
Africa,Egypt,ARQ,2021,1
Africa,Egypt,ARQ,2022,0
Africa,Egypt,GLOTIP,2019,0
Africa,Egypt,GLOTIP,2020,0
Africa,Egypt,GLOTIP,2021,1
Africa,Egypt,GLOTIP,2022,1
Africa,Egypt,IDS,2019,0
Africa,Egypt,IDS,2020,0
Africa,Egypt,IDS,2021,0
Africa,Egypt,IDS,2022,1
Africa,Egypt,UN-CTS,2019,0
Africa,Egypt,UN-CTS,2020,0
Africa,Egypt,UN-CTS,2021,0
Africa,Egypt,UN-CTS,2022,0
Africa,Egypt,UN-IAFQ,2019,0
Africa,Egypt,UN-IAFQ,2020,0
Africa,Egypt,UN-IAFQ,2021,0
Africa,Egypt,UN-IAFQ,2022,0
Africa,Equatorial Guinea,ARQ,2019,0
Africa,Equatorial Guinea,ARQ,2020,0
Africa,Equatorial Guinea,ARQ,2021,0
Africa,Equatorial Guinea,ARQ,2022,0
Africa,Equatorial Guinea,GLOTIP,2019,0
Africa,Equatorial Guinea,GLOTIP,2020,0
Africa,Equatorial Guinea,GLOTIP,2021,0
Africa,Equatorial Guinea,GLOTIP,2022,0
Africa,Equatorial Guinea,IDS,2019,0
Africa,Equatorial Guinea,IDS,2020,0
Africa,Equatorial Guinea,IDS,2021,0
Africa,Equatorial Guinea,IDS,2022,0
Africa,Equatorial Guinea,UN-CTS,2019,0
Africa,Equatorial Guinea,UN-CTS,2020,0
Africa,Equatorial Guinea,UN-CTS,2021,0
